,CIK,Company Name,Form Type,Date Filed,Filename
6304,1018003,INGRAM MICRO INC,10-K,2015-02-27,edgar/data/1018003/0001018003-15-000013.txt
6305,1018003,INGRAM MICRO INC,4,2015-01-06,edgar/data/1018003/0001179110-15-000448.txt
6306,1018003,INGRAM MICRO INC,4,2015-01-06,edgar/data/1018003/0001179110-15-000449.txt
6307,1018003,INGRAM MICRO INC,4,2015-01-06,edgar/data/1018003/0001179110-15-000450.txt
6308,1018003,INGRAM MICRO INC,4,2015-01-06,edgar/data/1018003/0001179110-15-000451.txt
6309,1018003,INGRAM MICRO INC,4,2015-01-06,edgar/data/1018003/0001179110-15-000452.txt
6310,1018003,INGRAM MICRO INC,4,2015-01-06,edgar/data/1018003/0001179110-15-000453.txt
6311,1018003,INGRAM MICRO INC,4,2015-01-06,edgar/data/1018003/0001179110-15-000454.txt
6312,1018003,INGRAM MICRO INC,4,2015-01-06,edgar/data/1018003/0001179110-15-000455.txt
6313,1018003,INGRAM MICRO INC,4,2015-01-06,edgar/data/1018003/0001179110-15-000456.txt
6314,1018003,INGRAM MICRO INC,4,2015-01-06,edgar/data/1018003/0001179110-15-000457.txt
6315,1018003,INGRAM MICRO INC,8-K,2015-02-26,edgar/data/1018003/0001018003-15-000010.txt
6316,1018003,INGRAM MICRO INC,IRANNOTICE,2015-02-27,edgar/data/1018003/0001018003-15-000014.txt
6317,1018003,INGRAM MICRO INC,SC 13G/A,2015-01-15,edgar/data/1018003/0001086364-15-000289.txt
6318,1018003,INGRAM MICRO INC,SC 13G/A,2015-02-10,edgar/data/1018003/0000932471-15-004063.txt
6319,1018003,INGRAM MICRO INC,SC 13G/A,2015-02-12,edgar/data/1018003/0001013536-15-000005.txt
6320,1018003,INGRAM MICRO INC,SC 13G/A,2015-02-13,edgar/data/1018003/0000315066-15-002031.txt
6321,1018003,INGRAM MICRO INC,SC 13G,2015-02-03,edgar/data/1018003/0000814375-15-000014.txt
9091,1025996,KILROY REALTY CORP,10-K,2015-02-10,edgar/data/1025996/0001025996-15-000075.txt
9092,1025996,KILROY REALTY CORP,3,2015-02-26,edgar/data/1025996/0001025996-15-000088.txt
9093,1025996,KILROY REALTY CORP,4/A,2015-01-16,edgar/data/1025996/0001025996-15-000022.txt
9094,1025996,KILROY REALTY CORP,4/A,2015-01-16,edgar/data/1025996/0001025996-15-000023.txt
9095,1025996,KILROY REALTY CORP,4/A,2015-01-16,edgar/data/1025996/0001025996-15-000024.txt
9096,1025996,KILROY REALTY CORP,4/A,2015-01-16,edgar/data/1025996/0001025996-15-000025.txt
9097,1025996,KILROY REALTY CORP,4/A,2015-01-16,edgar/data/1025996/0001025996-15-000026.txt
9098,1025996,KILROY REALTY CORP,4/A,2015-01-16,edgar/data/1025996/0001025996-15-000027.txt
9099,1025996,KILROY REALTY CORP,4/A,2015-01-16,edgar/data/1025996/0001025996-15-000028.txt
9100,1025996,KILROY REALTY CORP,424B7,2015-01-20,edgar/data/1025996/0001025996-15-000052.txt
9101,1025996,KILROY REALTY CORP,4,2015-01-06,edgar/data/1025996/0001025996-15-000008.txt
9102,1025996,KILROY REALTY CORP,4,2015-01-06,edgar/data/1025996/0001025996-15-000009.txt
9103,1025996,KILROY REALTY CORP,4,2015-01-06,edgar/data/1025996/0001025996-15-000010.txt
9104,1025996,KILROY REALTY CORP,4,2015-01-06,edgar/data/1025996/0001025996-15-000011.txt
9105,1025996,KILROY REALTY CORP,4,2015-01-06,edgar/data/1025996/0001025996-15-000012.txt
9106,1025996,KILROY REALTY CORP,4,2015-01-06,edgar/data/1025996/0001025996-15-000013.txt
9107,1025996,KILROY REALTY CORP,4,2015-01-06,edgar/data/1025996/0001025996-15-000014.txt
9108,1025996,KILROY REALTY CORP,4,2015-01-16,edgar/data/1025996/0001025996-15-000040.txt
9109,1025996,KILROY REALTY CORP,4,2015-01-16,edgar/data/1025996/0001025996-15-000041.txt
9110,1025996,KILROY REALTY CORP,4,2015-01-16,edgar/data/1025996/0001025996-15-000042.txt
9111,1025996,KILROY REALTY CORP,4,2015-01-16,edgar/data/1025996/0001025996-15-000043.txt
9112,1025996,KILROY REALTY CORP,4,2015-01-16,edgar/data/1025996/0001025996-15-000044.txt
9113,1025996,KILROY REALTY CORP,4,2015-01-16,edgar/data/1025996/0001025996-15-000045.txt
9114,1025996,KILROY REALTY CORP,4,2015-01-16,edgar/data/1025996/0001025996-15-000046.txt
9115,1025996,KILROY REALTY CORP,4,2015-01-16,edgar/data/1025996/0001025996-15-000047.txt
9116,1025996,KILROY REALTY CORP,4,2015-01-16,edgar/data/1025996/0001025996-15-000048.txt
9117,1025996,KILROY REALTY CORP,4,2015-01-16,edgar/data/1025996/0001025996-15-000049.txt
9118,1025996,KILROY REALTY CORP,4,2015-01-16,edgar/data/1025996/0001025996-15-000050.txt
9119,1025996,KILROY REALTY CORP,4,2015-01-29,edgar/data/1025996/0001025996-15-000065.txt
9120,1025996,KILROY REALTY CORP,4,2015-01-29,edgar/data/1025996/0001025996-15-000066.txt
9121,1025996,KILROY REALTY CORP,4,2015-01-29,edgar/data/1025996/0001025996-15-000067.txt
9122,1025996,KILROY REALTY CORP,4,2015-01-29,edgar/data/1025996/0001025996-15-000068.txt
9123,1025996,KILROY REALTY CORP,4,2015-01-29,edgar/data/1025996/0001025996-15-000069.txt
9124,1025996,KILROY REALTY CORP,4,2015-01-29,edgar/data/1025996/0001025996-15-000070.txt
9125,1025996,KILROY REALTY CORP,4,2015-01-29,edgar/data/1025996/0001025996-15-000071.txt
9126,1025996,KILROY REALTY CORP,4,2015-02-24,edgar/data/1025996/0001025996-15-000080.txt
9127,1025996,KILROY REALTY CORP,4,2015-02-25,edgar/data/1025996/0001025996-15-000083.txt
9128,1025996,KILROY REALTY CORP,4,2015-02-25,edgar/data/1025996/0001025996-15-000084.txt
9129,1025996,KILROY REALTY CORP,4,2015-03-03,edgar/data/1025996/0001025996-15-000090.txt
9130,1025996,KILROY REALTY CORP,4,2015-03-18,edgar/data/1025996/0001025996-15-000092.txt
9131,1025996,KILROY REALTY CORP,8-K,2015-01-29,edgar/data/1025996/0001025996-15-000057.txt
9132,1025996,KILROY REALTY CORP,8-K,2015-02-11,edgar/data/1025996/0001025996-15-000078.txt
9133,1025996,KILROY REALTY CORP,S-8,2015-02-09,edgar/data/1025996/0001193125-15-039342.txt
9134,1025996,KILROY REALTY CORP,SC 13G/A,2015-01-15,edgar/data/1025996/0001086364-15-000299.txt
9135,1025996,KILROY REALTY CORP,SC 13G/A,2015-02-06,edgar/data/1025996/0000932471-15-003189.txt
9136,1025996,KILROY REALTY CORP,SC 13G/A,2015-02-10,edgar/data/1025996/0000932471-15-004227.txt
9137,1025996,KILROY REALTY CORP,SC 13G/A,2015-02-12,edgar/data/1025996/0000080255-15-000370.txt
9138,1025996,KILROY REALTY CORP,SC 13G/A,2015-02-13,edgar/data/1025996/0001033984-15-000012.txt
9139,1025996,KILROY REALTY CORP,SC 13G/A,2015-02-13,edgar/data/1025996/0001284812-15-000064.txt
9140,1025996,KILROY REALTY CORP,SC 13G/A,2015-03-31,edgar/data/1025996/0001140361-15-013607.txt
9141,1025996,KILROY REALTY CORP,SC 13G,2015-02-13,edgar/data/1025996/0000911088-15-000003.txt
13987,103730,VISHAY INTERTECHNOLOGY INC,10-K,2015-02-19,edgar/data/103730/0000103730-15-000008.txt
13988,103730,VISHAY INTERTECHNOLOGY INC,4,2015-01-02,edgar/data/103730/0001140361-15-000165.txt
13989,103730,VISHAY INTERTECHNOLOGY INC,4,2015-01-02,edgar/data/103730/0001140361-15-000166.txt
13990,103730,VISHAY INTERTECHNOLOGY INC,4,2015-01-02,edgar/data/103730/0001140361-15-000167.txt
13991,103730,VISHAY INTERTECHNOLOGY INC,4,2015-01-02,edgar/data/103730/0001140361-15-000169.txt
13992,103730,VISHAY INTERTECHNOLOGY INC,4,2015-01-02,edgar/data/103730/0001140361-15-000171.txt
13993,103730,VISHAY INTERTECHNOLOGY INC,4,2015-01-02,edgar/data/103730/0001140361-15-000172.txt
13994,103730,VISHAY INTERTECHNOLOGY INC,4,2015-01-02,edgar/data/103730/0001140361-15-000173.txt
13995,103730,VISHAY INTERTECHNOLOGY INC,4,2015-01-02,edgar/data/103730/0001140361-15-000174.txt
13996,103730,VISHAY INTERTECHNOLOGY INC,4,2015-01-02,edgar/data/103730/0001140361-15-000175.txt
13997,103730,VISHAY INTERTECHNOLOGY INC,4,2015-01-02,edgar/data/103730/0001140361-15-000176.txt
