,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,period,person,perform,pennsylvania,permit,personnel,pca,,,,,,,,,,,,,
1,item,oblig,creation,sheet,financi,herein,balanc,inform,definit,registr,materi,incorpor,refer,requir,,,,,,
2,merger,,,,,,,,,,,,,,,,,,,
3,note,indentur,truste,redempt,,,,,,,,,,,,,,,,
4,personnel,pierc,person,period,phrase,place,percentag,,,,,,,,,,,,,
5,person,phrase,permit,,,,,,,,,,,,,,,,,
6,astoria,,,,,,,,,,,,,,,,,,,
7,person,phrase,permit,perform,personnel,,,,,,,,,,,,,,,
8,revolv,credit,loan,borrow,lender,,,,,,,,,,,,,,,
9,personnel,pierc,person,,,,,,,,,,,,,,,,,
10,packag,taa,receiv,fund,,,,,,,,,,,,,,,,
11,materi,term,termin,agreement,,,,,,,,,,,,,,,,
12,permit,personnel,period,percentag,,,,,,,,,,,,,,,,
13,person,phrase,permit,,,,,,,,,,,,,,,,,
14,rate,interest,term,facil,loan,revolv,,,,,,,,,,,,,,
15,abil,abl,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,
17,date,septemb,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,
19,time,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,
